# VL53L5CX 8x8 Distance Measurement
# Timestamp: 2025-09-19T00:25:54.592180
# Min valid distance: 30 mm
# Max valid distance: 4000 mm
# Invalid points marked as: -1

Row\Col,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7
Row_0,-1,-1,2110,2220,2236,2192,-1,-1
Row_1,-1,-1,-1,-1,-1,-1,-1,-1
Row_2,-1,-1,2597,-1,-1,2646,2558,-1
Row_3,-1,-1,-1,2977,-1,-1,2693,2671
Row_4,-1,3209,-1,-1,-1,-1,-1,-1
Row_5,-1,-1,-1,-1,-1,-1,-1,2458
Row_6,-1,-1,-1,-1,-1,2767,-1,2226
Row_7,-1,-1,-1,-1,2810,2440,2254,-1
