# VL53L5CX 8x8 Distance Measurement
# Timestamp: 2025-09-19T07:00:43.379476
# Min valid distance: 30 mm
# Max valid distance: 4000 mm
# Invalid points marked as: -1

Row\Col,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7
Row_0,98,100,912,1061,1231,1435,75,70
Row_1,798,882,974,1086,1226,102,98,85
Row_2,815,861,972,1066,1251,126,120,110
Row_3,130,810,157,148,138,128,123,114
Row_4,120,860,144,699,126,119,114,109
Row_5,96,822,105,98,95,94,88,85
Row_6,84,85,84,82,80,76,71,70
Row_7,76,70,67,68,66,64,62,59
