# VL53L5CX 8x8 Distance Measurement
# Timestamp: 2025-09-19T00:25:23.418225
# Min valid distance: 30 mm
# Max valid distance: 4000 mm
# Invalid points marked as: -1

Row\Col,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7
Row_0,546,658,738,870,1078,-1,-1,-1
Row_1,647,736,828,905,800,320,2218,-1
Row_2,714,817,800,786,742,710,2319,2185
Row_3,746,772,758,720,685,684,670,2290
Row_4,322,295,501,555,584,619,625,2114
Row_5,274,264,323,464,508,537,461,2062
Row_6,240,241,250,282,358,415,335,302
Row_7,230,222,226,240,249,247,249,282
