# VL53L5CX 8x8 Distance Measurement
# Timestamp: 2025-09-19T06:50:37.862691
# Min valid distance: 30 mm
# Max valid distance: 4000 mm
# Invalid points marked as: -1

Row\Col,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7
Row_0,97,94,95,1114,1243,1392,1862,72
Row_1,104,912,1003,1115,1257,1465,98,2013
Row_2,874,941,992,1176,125,117,115,466
Row_3,129,916,148,142,132,126,119,110
Row_4,127,152,145,138,131,124,119,113
Row_5,102,110,112,108,107,102,100,96
Row_6,91,90,88,88,88,84,80,78
Row_7,79,73,74,75,70,68,68,65
